,start_station,trips_per_station
1562,W 21 St & 6 Ave,1258
1692,West St & Chambers St,1193
490,Broadway & W 58 St,1119
8,1 Ave & E 68 St,1053
285,6 Ave & W 33 St,1043
456,Broadway & E 14 St,981
458,Broadway & E 21 St,961
1486,University Pl & E 14 St,953
480,Broadway & W 25 St,939
583,Cleveland Pl & Spring St,926
779,E 33 St & 1 Ave,903
24,11 Ave & W 41 St,901
1578,W 31 St & 7 Ave,900
1693,West St & Liberty St,889
286,6 Ave & W 34 St,886
29,12 Ave & W 40 St,873
787,E 40 St & Park Ave,862
556,Central Park S & 6 Ave,858
1093,Lafayette St & E 8 St,831
1567,W 22 St & 10 Ave,825
